STACJA;ROK;DATA;NRPOMIARU;TYDZ;NRDNIA;SDRD
2002;2022;12.11.2022;11;45;6;8066
2002;2022;13.11.2022;11;45;7;7865
2002;2022;14.11.2022;11;46;1;9847
2002;2022;15.11.2022;11;46;2;9682
2002;2022;16.11.2022;11;46;3;9790
2002;2022;17.11.2022;11;46;4;10013
2002;2022;18.11.2022;11;46;5;10557
2002;2022;19.11.2022;11;46;6;7808
2002;2022;20.11.2022;11;46;7;6508
2002;2022;21.11.2022;11;47;1;9382
2002;2022;22.11.2022;11;47;2;8934
2002;2022;23.11.2022;11;47;3;9281
2002;2022;24.11.2022;11;47;4;9631
2002;2022;25.11.2022;11;47;5;10993
2002;2022;26.11.2022;11;47;6;7665
2002;2022;27.11.2022;11;47;7;6514
2002;2022;28.11.2022;11;48;1;9577
2002;2022;29.11.2022;11;48;2;9207
2002;2022;30.11.2022;11;48;3;9326
2002;2022;01.12.2022;12;48;4;9315
2002;2022;02.12.2022;12;48;5;10475
2002;2022;03.12.2022;12;48;6;7681
2002;2022;04.12.2022;12;48;7;6042
2002;2022;05.12.2022;12;49;1;9658
2002;2022;06.12.2022;12;49;2;8978
2002;2022;07.12.2022;12;49;3;9054
2002;2022;08.12.2022;12;49;4;9302
2002;2022;09.12.2022;12;49;5;10730
2002;2022;10.12.2022;12;49;6;7526
2002;2022;11.12.2022;12;49;7;6302
2002;2022;12.12.2022;12;50;1;7880
2002;2022;13.12.2022;12;50;2;8615
2002;2022;14.12.2022;12;50;3;8776
2002;2022;15.12.2022;12;50;4;9225
2002;2022;16.12.2022;12;50;5;10321
2002;2022;17.12.2022;12;50;6;7157
2002;2022;18.12.2022;12;50;7;6598
2002;2022;19.12.2022;12;51;1;9494
2002;2022;20.12.2022;12;51;2;9814
2002;2022;21.12.2022;12;51;3;10003
2002;2022;22.12.2022;12;51;4;11087
2002;2022;23.12.2022;12;51;5;10896
2002;2022;24.12.2022;12;51;6;6575
2002;2022;25.12.2022;12;51;17;5454
2002;2022;26.12.2022;12;52;11;6405
2002;2022;27.12.2022;12;52;2;9739
2002;2022;28.12.2022;12;52;3;10006
2002;2022;29.12.2022;12;52;4;10231
2002;2022;30.12.2022;12;52;5;10707
2002;2022;31.12.2022;12;52;6;6250
2012;2022;01.01.2022;1;52;16;4515
2012;2022;02.01.2022;1;52;7;12953
2012;2022;03.01.2022;1;1;1;9170
2012;2022;04.01.2022;1;1;2;8202
2012;2022;05.01.2022;1;1;3;10036
2012;2022;06.01.2022;1;1;14;9730
2012;2022;07.01.2022;1;1;5;9232
2012;2022;08.01.2022;1;1;6;9769
2012;2022;09.01.2022;1;1;7;12871
2012;2022;10.01.2022;1;2;1;8986
2012;2022;11.01.2022;1;2;2;8552
2012;2022;12.01.2022;1;2;3;8801
2012;2022;13.01.2022;1;2;4;9359
2012;2022;14.01.2022;1;2;5;11215
2012;2022;15.01.2022;1;2;6;9795
2012;2022;16.01.2022;1;2;7;10328
2012;2022;17.01.2022;1;3;1;10548
2012;2022;18.01.2022;1;3;2;9375
2012;2022;19.01.2022;1;3;3;10515
2012;2022;20.01.2022;1;3;4;10579
2012;2022;21.01.2022;1;3;5;13047
2012;2022;22.01.2022;1;3;6;10942
2012;2022;23.01.2022;1;3;7;11491
2012;2022;24.01.2022;1;4;1;11236
2012;2022;25.01.2022;1;4;2;9635
2012;2022;26.01.2022;1;4;3;10340
2012;2022;27.01.2022;1;4;4;11084
2012;2022;28.01.2022;1;4;5;12889
2012;2022;29.01.2022;1;4;6;11372
2012;2022;30.01.2022;1;4;7;9406
2012;2022;31.01.2022;1;5;1;10463
2012;2022;01.02.2022;2;5;2;9047
2012;2022;02.02.2022;2;5;3;9282
2012;2022;03.02.2022;2;5;4;10354
2012;2022;04.02.2022;2;5;5;13042
2012;2022;05.02.2022;2;5;6;11706
2012;2022;06.02.2022;2;5;7;11329
2012;2022;07.02.2022;2;6;1;10911
2012;2022;08.02.2022;2;6;2;9381
2012;2022;09.02.2022;2;6;3;10392
2012;2022;10.02.2022;2;6;4;11199
2012;2022;11.02.2022;2;6;5;13776
2012;2022;12.02.2022;2;6;6;13288
2012;2022;13.02.2022;2;6;7;13717
2012;2022;14.02.2022;2;7;1;10706
2012;2022;15.02.2022;2;7;2;9755
2012;2022;16.02.2022;2;7;3;9514
2012;2022;17.02.2022;2;7;4;9571
2012;2022;18.02.2022;2;7;5;12287
2012;2022;19.02.2022;2;7;6;7979
2012;2022;20.02.2022;2;7;7;9522
2012;2022;21.02.2022;2;8;1;9627
2012;2022;22.02.2022;2;8;2;8819
2012;2022;23.02.2022;2;8;3;9480
2012;2022;24.02.2022;2;8;4;10284
2012;2022;25.02.2022;2;8;5;12706
2012;2022;26.02.2022;2;8;6;8799
2012;2022;27.02.2022;2;8;7;9957
2012;2022;28.02.2022;2;9;1;9690
2012;2022;01.03.2022;3;9;2;9065
2012;2022;02.03.2022;3;9;3;8890
2012;2022;03.03.2022;3;9;4;9728
2012;2022;04.03.2022;3;9;5;12114
2012;2022;05.03.2022;3;9;6;8257
2012;2022;06.03.2022;3;9;7;9759
2012;2022;07.03.2022;3;10;1;10429
2012;2022;08.03.2022;3;10;2;8874
2012;2022;09.03.2022;3;10;3;8983
2012;2022;10.03.2022;3;10;4;9550
2012;2022;11.03.2022;3;10;5;11608
2012;2022;12.03.2022;3;10;6;8485
2012;2022;13.03.2022;3;10;7;10129
2012;2022;14.03.2022;3;11;1;9266
2012;2022;15.03.2022;3;11;2;8501
2012;2022;16.03.2022;3;11;3;8755
2012;2022;17.03.2022;3;11;4;9653
2012;2022;18.03.2022;3;11;5;11748
2012;2022;19.03.2022;3;11;6;8087
2012;2022;20.03.2022;3;11;7;9696
2012;2022;21.03.2022;3;12;1;10000
2012;2022;22.03.2022;3;12;2;8579
2012;2022;23.03.2022;3;12;3;9111
2012;2022;24.03.2022;3;12;4;9548
2012;2022;25.03.2022;3;12;5;12281
2012;2022;26.03.2022;3;12;6;8393
2012;2022;27.03.2022;3;12;7;9581
2012;2022;28.03.2022;3;13;1;9484
2012;2022;29.03.2022;3;13;2;8929
2012;2022;30.03.2022;3;13;3;8818
2012;2022;31.03.2022;3;13;4;9009
2012;2022;01.04.2022;4;13;5;10510
2012;2022;02.04.2022;4;13;6;6497
2012;2022;03.04.2022;4;13;7;7467
2012;2022;04.04.2022;4;14;1;8982
2012;2022;05.04.2022;4;14;2;8121
2012;2022;06.04.2022;4;14;3;8561
2012;2022;07.04.2022;4;14;4;9017
2012;2022;08.04.2022;4;14;5;11046
2012;2022;09.04.2022;4;14;6;7745
2012;2022;10.04.2022;4;14;7;7614
2012;2022;11.04.2022;4;15;1;9593
2012;2022;12.04.2022;4;15;2;9275
2012;2022;13.04.2022;4;15;3;10443
2012;2022;14.04.2022;4;15;4;12154
2012;2022;15.04.2022;4;15;5;13791
2012;2022;16.04.2022;4;15;6;6445
2012;2022;17.04.2022;4;15;17;6288
2012;2022;18.04.2022;4;16;11;12903
2012;2022;19.04.2022;4;16;2;12644
2012;2022;20.04.2022;4;16;3;10024
2012;2022;21.04.2022;4;16;4;9931
2012;2022;22.04.2022;4;16;5;12016
2012;2022;23.04.2022;4;16;6;9231
2012;2022;24.04.2022;4;16;7;9274
2012;2022;25.04.2022;4;17;1;9709
2012;2022;26.04.2022;4;17;2;9383
2012;2022;27.04.2022;4;17;3;9556
2012;2022;28.04.2022;4;17;4;10112
2012;2022;29.04.2022;4;17;5;14811
2012;2022;30.04.2022;4;17;6;13864
2012;2022;01.05.2022;5;17;17;13204
2012;2022;02.05.2022;5;18;1;10397
2012;2022;03.05.2022;5;18;12;15008
2012;2022;04.05.2022;5;18;3;9976
2012;2022;05.05.2022;5;18;4;9632
2012;2022;06.05.2022;5;18;5;11532
2012;2022;07.05.2022;5;18;6;9095
2012;2022;08.05.2022;5;18;7;10223
2012;2022;09.05.2022;5;19;1;10392
2012;2022;10.05.2022;5;19;2;9657
2012;2022;11.05.2022;5;19;3;9946
2012;2022;12.05.2022;5;19;4;10195
2012;2022;13.05.2022;5;19;5;12322
2012;2022;14.05.2022;5;19;6;9452
2012;2022;15.05.2022;5;19;7;11675
2012;2022;16.05.2022;5;20;1;13091
2012;2022;17.05.2022;5;20;2;9577
2012;2022;18.05.2022;5;20;3;10012
2012;2022;19.05.2022;5;20;4;10467
2012;2022;20.05.2022;5;20;5;12596
2012;2022;21.05.2022;5;20;6;9067
2012;2022;22.05.2022;5;20;7;10720
2012;2022;23.05.2022;5;21;1;10595
2012;2022;24.05.2022;5;21;2;9533
2012;2022;25.05.2022;5;21;3;11057
2012;2022;26.05.2022;5;21;4;13118
2012;2022;27.05.2022;5;21;5;12080
2012;2022;28.05.2022;5;21;6;8746
2012;2022;29.05.2022;5;21;7;12099
2012;2022;30.05.2022;5;22;1;10060
2012;2022;31.05.2022;5;22;2;9772
2012;2022;01.06.2022;6;22;3;9666
2012;2022;02.06.2022;6;22;4;10373
2012;2022;03.06.2022;6;22;5;12810
2012;2022;04.06.2022;6;22;6;9170
2012;2022;05.06.2022;6;22;17;11706
2012;2022;06.06.2022;6;23;1;11668
2012;2022;07.06.2022;6;23;2;9911
2012;2022;08.06.2022;6;23;3;9785
2012;2022;09.06.2022;6;23;4;10419
2012;2022;10.06.2022;6;23;5;12863
2012;2022;11.06.2022;6;23;6;10280
2012;2022;12.06.2022;6;23;7;11621
2012;2022;13.06.2022;6;24;1;10669
2012;2022;14.06.2022;6;24;2;10202
2012;2022;15.06.2022;6;24;3;13999
2012;2022;16.06.2022;6;24;14;12058
2012;2022;17.06.2022;6;24;5;10778
2012;2022;18.06.2022;6;24;6;10692
2012;2022;19.06.2022;6;24;7;15906
2012;2022;20.06.2022;6;25;1;11187
2012;2022;21.06.2022;6;25;2;10245
2012;2022;22.06.2022;6;25;3;10603
2012;2022;23.06.2022;6;25;4;10934
2012;2022;24.06.2022;6;25;5;13286
2012;2022;25.06.2022;6;25;6;10716
2012;2022;26.06.2022;6;25;7;11289
2012;2022;27.06.2022;6;26;1;11451
2012;2022;28.06.2022;6;26;2;10122
2012;2022;29.06.2022;6;26;3;10233
2012;2022;30.06.2022;6;26;4;11333
